  Time    daisy.ubuntu.com  apis.google.com  z-1-external.xx.fbcdn.net  ssl.gstatic.com  p5-5nxnidcxbvmkg-wc7jlcfqgozhk5sn-640637-i2-v6exp3-ds.metric.gstatic.com  p5-5nxnidcxbvmkg-wc7jlcfqgozhk5sn-640637-i1-v6exp3-v4.metric.gstatic.com  www.google.co.in  csi.gstatic.com  web.facebook.com  p5-m222hq4yltxck-oeou4xyoahye6xze-490499-i1-v6exp3-v4.metric.gstatic.com  p5-m222hq4yltxck-oeou4xyoahye6xze-490499-i2-v6exp3-ds.metric.gstatic.com  z-1-scontent.fmaa1-2.fna.fbcdn.net  clients4.google.com  julialang.org  z-1-scontent.xx.fbcdn.net  z-1-static.xx.fbcdn.net  www.gstatic.com  www.google.com  www.facebook.com  64.233.161.120 
 18.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 18.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 18.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 19.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      0      0      0
 19.250      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0      7      1      0      0
 19.500      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     31      1      0      0
 19.750      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     47      1      0      0
 20.000      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     50      1      0      4
 20.250      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     50      1      0      4
 20.500      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     50      1      0      6
 20.750      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     50      1      0      6
 21.000      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     50      1      0      6
 21.250      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 21.500      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 21.750      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 22.000      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 22.250      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 22.500      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 22.750      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 23.000      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 23.250      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 23.500      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 23.750      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 24.000      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 24.250      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 24.500      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 24.750      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 25.000      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 25.250      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 25.500      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 25.750      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 26.000      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 26.250      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 26.500      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 26.750      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 27.000      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 27.250      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 27.500      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 27.750      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 28.000      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 28.250      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 28.500      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 28.750      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 29.000      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 29.250      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 29.500      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 29.750      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 30.000      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0     52      1      0      6
 30.250      0      0      0      0      0      0      0      0      0      0      0      0      3      0      0      0     52      1      0      6
 30.500      0      0      0      0      0      0      0      0      0      0      0      0      5      0      0      0     52      1      0      6
 30.750      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 31.000      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 31.250      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 31.500      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 31.750      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 32.000      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 32.250      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 32.500      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 32.750      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 33.000      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 33.250      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 33.500      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 33.750      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 34.000      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 34.250      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 34.500      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 34.750      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 35.000      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 35.250      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 35.500      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 35.750      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
 36.000      0      0      0      0      0      0      0      0      0      0      0      0      8      0      0      0     52      1      0      6
